InteractionNumber,ElapsedTime,SplitTime,tposX,tposY,tposZ,trotX,trotY,trotZ,tangX,tangY,tangZ
0,5.446533,5.446533,-4.371139E-08,1.5,1.15,0,180,0,1.570796,1.570796,0
1,11.77136,6.324829,0.2409016,1.077647,-0.7238332,-24.98322,-15.41266,-9.029816,2.006836,-1.301795,-9.029807
2,15.51331,3.741943,-0.1511666,1.432581,-0.8362066,-3.865753,8.714518,20.30885,1.638267,-1.722893,20.30885
3,19.42322,3.909912,-0.3682121,1.2025,-0.7308596,-17.3075,22.68563,2.345084,1.872869,-1.966735,2.345085
4,23.33984,3.916626,-0.6228423,1.044342,-0.4859584,-27.1073,44.40303,3.511163,2.043908,-2.345775,3.511164
5,27.39917,4.059326,-0.6174028,1.296261,-0.6098053,-11.75571,39.09662,-16.2009,1.775972,-2.253161,-16.20091
6,32.745,5.345825,-0.3120602,1.256115,-0.7682258,-14.11594,18.7704,-0.1046448,1.817166,-1.898401,-0.1046448
7,39.16089,6.415894,-0.04120557,1.385678,-0.8425889,-6.564514,2.377168,-20.90356,1.685369,-1.612286,-20.90355
8,44.4397,5.278809,0.1328793,1.629504,-0.832635,7.44093,-7.701233,-5.789215,1.440928,-1.436384,-5.789219
9,48.49451,4.05481,0.03569898,1.898377,-0.7665267,23.47677,-2.23056,13.80421,1.161049,-1.531866,13.80421
10,52.64917,4.154663,0.01005246,1.783726,-0.8088528,16.48269,-0.600647,3.454814,1.283119,-1.560313,3.454815
11,57.4054,4.756226,-0.03577673,1.76559,-0.813422,15.40202,2.126705,24.77569,1.30198,-1.607914,24.77569
12,61.70215,4.296753,-0.3888496,1.3184,-0.7532262,-10.46295,23.29246,12.50981,1.75341,-1.977326,12.50981
13,66.64893,4.946777,-0.7308517,1.502424,-0.532532,0.1388714,46.95802,-3.708954,1.568373,-2.390368,-3.708966
14,68.70801,2.059082,-0.5686629,1.883566,-0.5776671,22.55475,38.00719,-6.749725,1.177142,-2.234147,-6.749737
15,71.21887,2.510864,-0.1422592,2.030324,-0.6857743,32.02736,9.659877,-9.658295,1.011814,-1.739393,-9.658298
16,78.21802,6.999146,-0.07673328,1.740414,-0.8176328,13.91096,4.534067,-7.118805,1.328004,-1.649931,-7.118801
17,82.08411,3.866089,0.2946762,1.472056,-0.8051884,-1.601318,-17.14502,-17.46991,1.598744,-1.271559,-17.46991
18,86.18506,4.100952,-0.1561475,1.904019,-0.751325,23.82965,9.828495,10.04256,1.15489,-1.742336,10.04256
19,90.38342,4.198364,-0.08893874,2.101348,-0.644022,36.96648,6.391084,24.56585,0.9256095,-1.682342,24.56585
20,96.02136,5.637939,-0.2400245,1.873774,-0.7459246,21.94859,14.99774,16.72151,1.187721,-1.832556,16.72151
21,98.20166,2.180298,-0.2751725,1.936446,-0.7066182,25.87736,17.80865,-2.015594,1.119151,-1.881616,-2.015606
22,101.0092,2.807495,-0.165372,1.913637,-0.7452971,24.43349,10.46525,22.6,1.144352,-1.753449,22.6
23,104.8292,3.820068,-0.6184049,1.775574,-0.5859582,15.9962,40.03938,-4.564026,1.29161,-2.269615,-4.564034
24,106.6433,1.814087,-0.3209983,1.926603,-0.695559,25.25216,20.78819,21.96739,1.130063,-1.933619,21.96739
25,111.2001,4.556763,-0.5012914,1.674346,-0.6975321,10.04058,30.60313,6.091793,1.395555,-2.104922,6.091793
26,112.6597,1.459595,-0.6981264,1.897503,-0.4454918,23.4222,49.5363,5.015317,1.162002,-2.435368,5.015316
27,116.4448,3.785156,-0.3585996,2.059504,-0.597236,34.02152,25.63642,-0.8401489,0.9770092,-2.018236,-0.8401566
28,120.9453,4.500488,-0.4286002,1.654922,-0.7401129,8.912282,25.71138,-20.94275,1.415248,-2.019545,-20.94274
29,130.0717,9.126343,-0.460316,2.064701,-0.5349975,34.38157,33.90097,-10.06412,0.9707249,-2.16248,-10.06411
30,131.6588,1.587158,-0.5681056,2.086801,-0.4269926,35.93034,44.55533,-25.07556,0.9436937,-2.348434,-25.07554
31,135.9261,4.267334,-0.2759961,1.722287,-0.7851014,12.84338,16.44402,-25.52576,1.346637,-1.857799,-25.52575
32,140.698,4.771851,0.216321,1.720352,-0.801131,12.7297,-12.81314,0.9477425,1.348621,-1.347165,0.9477425
33,144.5455,3.847534,0.5768788,1.59979,-0.6607112,5.727099,-35.43457,21.32615,1.47084,-0.9523466,21.32615
34,148.1388,3.593262,0.3061228,1.109501,-0.7182163,-22.98553,-19.42206,10.29319,1.97197,-1.231818,10.29319
35,150.673,2.53418,0.6410077,0.9945202,-0.4275805,-30.36322,-47.97952,6.711174,2.100734,-0.7333954,6.711175
36,153.6678,2.994873,0.3034994,0.9951863,-0.6581159,-30.31903,-20.58438,17.49599,2.099962,-1.211531,17.49599
37,156.3867,2.718872,0.009630462,0.9483062,-0.6839912,-33.48331,-0.6615906,-9.348633,2.15519,-1.559249,-9.348618
38,160.0958,3.709106,-0.2648661,1.237944,-0.7779937,-15.19211,15.9297,17.56793,1.835949,-1.848822,17.56794
39,162.328,2.232178,-0.4503826,1.074896,-0.6351383,-25.15726,29.84008,11.01638,2.009873,-2.091604,11.01638
